"district","temperature","humidity","month","year","rainfall_mm"
"Kodagu","22.2","82","12","2025","15.8"
"Kolar","30.5","50","1","2025","3.5"
"Kolar","31.8","47","2","2025","2.2"
"Kolar","34.2","42","3","2025","5.8"
"Kolar","35.8","40","4","2025","22.5"
"Kolar","33.5","55","5","2025","52.8"
"Kolar","28.2","68","6","2025","48.5"
"Kolar","26.5","75","7","2025","62.4"
"Kolar","26.0","78","8","2025","78.5"
"Kolar","27.5","72","9","2025","98.2"
"Kolar","29.0","65","10","2025","78.5"
"Kolar","30.2","52","11","2025","25.8"
"Kolar","29.8","48","12","2025","4.5"
"Koppal","33.5","45","1","2025","3.2"
"Koppal","35.2","42","2","2025","1.8"
"Koppal","37.8","38","3","2025","5.5"
"Koppal","39.2","35","4","2025","14.2"
"Koppal","36.5","50","5","2025","32.5"
"Koppal","31.2","68","6","2025","68.5"
"Koppal","29.5","75","7","2025","92.8"
"Koppal","29.0","78","8","2025","78.4"
"Koppal","30.2","72","9","2025","98.5"
"Koppal","32.0","62","10","2025","55.8"
"Koppal","33.0","48","11","2025","12.5"
"Koppal","32.5","44","12","2025","2.8"
"Mandya","28.5","65","1","2025","5.5"
"Mandya","29.8","62","2","2025","3.8"
"Mandya","32.2","55","3","2025","10.2"
"Mandya","33.5","52","4","2025","38.5"
"Mandya","31.2","65","5","2025","82.5"
"Mandya","26.5","78","6","2025","72.8"
"Mandya","25.0","82","7","2025","95.5"
"Mandya","24.5","85","8","2025","108.2"
"Mandya","26.0","80","9","2025","142.5"
"Mandya","27.5","75","10","2025","118.8"
"Mandya","28.2","65","11","2025","45.2"
"Mandya","27.5","60","12","2025","8.5"
"Mysuru","27.5","68","1","2025","5.8"
"Mysuru","28.8","65","2","2025","4.2"
"Mysuru","31.5","58","3","2025","10.5"
"Mysuru","32.8","55","4","2025","40.2"
"Mysuru","30.5","68","5","2025","85.8"
"Mysuru","26.0","80","6","2025","78.5"
"Mysuru","24.5","85","7","2025","98.2"
"Mysuru","24.0","88","8","2025","112.5"
"Mysuru","25.5","82","9","2025","148.8"
"Mysuru","27.0","78","10","2025","125.2"
"Mysuru","27.8","68","11","2025","48.5"
"Mysuru","27.0","62","12","2025","9.2"
"Raichur","34.5","40","1","2025","3.0"
"Raichur","36.2","36","2","2025","1.8"
"Raichur","39.0","32","3","2025","4.5"
"Raichur","40.8","28","4","2025","10.2"
"Raichur","38.2","45","5","2025","28.5"
"Raichur","33.0","62","6","2025","85.2"
"Raichur","31.2","72","7","2025","118.5"
"Raichur","30.5","75","8","2025","98.4"
"Raichur","32.0","68","9","2025","115.8"
"Raichur","33.5","58","10","2025","62.5"
"Raichur","34.0","42","11","2025","14.8"
"Raichur","33.5","38","12","2025","3.2"
"Ramanagara","28.8","62","1","2025","5.2"
"Ramanagara","30.0","58","2","2025","3.5"
"Ramanagara","32.5","52","3","2025","9.8"
"Ramanagara","33.8","50","4","2025","35.5"
"Ramanagara","31.5","62","5","2025","78.2"
"Ramanagara","27.0","75","6","2025","65.8"
"Ramanagara","25.5","80","7","2025","85.5"
"Ramanagara","25.0","82","8","2025","98.2"
"Ramanagara","26.5","78","9","2025","128.5"
"Ramanagara","28.0","72","10","2025","105.8"
"Ramanagara","29.0","62","11","2025","38.5"
"Ramanagara","28.2","58","12","2025","7.5"
"Shimoga","26.2","78","1","2025","8.2"
"Shimoga","27.5","74","2","2025","5.5"
"Shimoga","30.0","68","3","2025","14.8"
"Shimoga","31.2","65","4","2025","45.5"
"Shimoga","29.5","75","5","2025","108.2"
"Shimoga","24.5","88","6","2025","285.5"
"Shimoga","23.0","92","7","2025","365.8"
"Shimoga","22.5","94","8","2025","325.4"
"Shimoga","24.0","90","9","2025","245.2"
"Shimoga","25.5","82","10","2025","155.8"
"Shimoga","26.2","75","11","2025","45.5"
"Shimoga","25.8","72","12","2025","10.5"
"Tumakuru","30.5","50","1","2025","3.5"
"Tumakuru","31.8","48","2","2025","2.5"
"Tumakuru","34.2","42","3","2025","6.2"
"Tumakuru","35.5","40","4","2025","24.8"
"Tumakuru","33.5","55","5","2025","55.8"
"Tumakuru","28.5","68","6","2025","52.5"
"Tumakuru","27.0","75","7","2025","72.8"
"Tumakuru","26.5","78","8","2025","85.2"
"Tumakuru","28.0","72","9","2025","108.5"
"Tumakuru","29.5","65","10","2025","82.4"
"Tumakuru","30.2","52","11","2025","25.5"
"Tumakuru","29.8","48","12","2025","4.8"
"Udupi","30.8","86","1","2025","6.2"
"Udupi","31.5","82","2","2025","4.5"
"Udupi","33.0","78","3","2025","14.8"
"Udupi","33.8","76","4","2025","58.5"
"Udupi","32.0","84","5","2025","175.2"
"Udupi","27.8","94","6","2025","895.5"
"Udupi","26.2","96","7","2025","1085.2"
"Udupi","26.0","97","8","2025","725.8"
"Udupi","27.5","93","9","2025","345.2"
"Udupi","29.0","88","10","2025","215.5"
"Udupi","30.2","82","11","2025","68.5"
"Udupi","30.5","80","12","2025","14.2"
"Uttara Kannada","28.5","80","1","2025","5.5"
"Uttara Kannada","29.8","76","2","2025","3.8"
"Uttara Kannada","32.2","70","3","2025","12.8"
"Uttara Kannada","33.5","68","4","2025","48.5"
"Uttara Kannada","31.2","78","5","2025","135.8"
"Uttara Kannada","26.0","90","6","2025","585.4"
"Uttara Kannada","24.5","94","7","2025","752.8"
"Uttara Kannada","24.2","95","8","2025","625.2"
"Uttara Kannada","25.8","92","9","2025","325.5"
"Uttara Kannada","27.5","85","10","2025","185.2"
"Uttara Kannada","28.5","78","11","2025","48.5"
"Uttara Kannada","28.0","75","12","2025","10.8"
"Vijayanagara","31.2","55","1","2025","4.2"
"Vijayanagara","32.8","50","2","2025","2.8"
"Vijayanagara","35.5","45","3","2025","7.5"
"Vijayanagara","37.0","42","4","2025","18.5"
"Vijayanagara","34.8","56","5","2025","42.8"
"Vijayanagara","29.8","72","6","2025","78.5"
"Vijayanagara","28.0","78","7","2025","108.2"
"Vijayanagara","27.5","80","8","2025","92.8"
"Vijayanagara","29.0","75","9","2025","115.5"
"Vijayanagara","30.5","65","10","2025","68.4"
"Vijayanagara","31.2","55","11","2025","18.2"
"Vijayanagara","30.5","52","12","2025","4.2"
"Vijayapura","33.8","42","1","2025","3.0"
"Vijayapura","35.5","38","2","2025","1.5"
"Vijayapura","38.2","34","3","2025","4.8"
"Vijayapura","39.8","30","4","2025","11.5"
"Vijayapura","37.2","48","5","2025","28.5"
"Vijayapura","32.0","65","6","2025","72.5"
"Vijayapura","30.2","72","7","2025","98.4"
"Vijayapura","29.8","75","8","2025","82.5"
"Vijayapura","31.0","70","9","2025","105.2"
"Vijayapura","32.8","58","10","2025","55.8"
"Vijayapura","33.5","44","11","2025","12.8"
"Vijayapura","33.0","40","12","2025","2.8"
"Yadgir","34.8","40","1","2025","2.8"
"Yadgir","36.5","36","2","2025","1.5"
"Yadgir","39.2","32","3","2025","4.2"
"Yadgir","41.0","28","4","2025","9.8"
"Yadgir","38.5","45","5","2025","25.5"
"Yadgir","33.2","62","6","2025","78.2"
"Yadgir","31.5","72","7","2025","108.5"
"Yadgir","31.0","75","8","2025","92.8"
"Yadgir","32.2","68","9","2025","108.2"
"Yadgir","33.8","56","10","2025","58.5"
"Yadgir","34.2","42","11","2025","12.5"
"Yadgir","34.0","38","12","2025","2.5"
"Bagalkote","32.1","55","1","2026","5.2"
"Bagalkote","33.5","52","2","2026","3.8"
"Bagalkote","36.2","48","3","2026","8.1"
"Bagalkote","37.8","45","4","2026","18.5"
"Bagalkote","35.4","58","5","2026","42.3"
"Bagalkote","30.2","72","6","2026","85.6"
"Bagalkote","28.5","78","7","2026","112.4"
"Bagalkote","28.1","80","8","2026","98.7"
"Bagalkote","29.3","75","9","2026","120.5"
"Bagalkote","30.8","68","10","2026","72.3"
"Bagalkote","31.2","58","11","2026","18.4"
"Bagalkote","30.5","54","12","2026","4.6"
"Ballari","33.2","50","1","2026","4.8"
"Ballari","34.8","47","2","2026","2.5"
"Ballari","37.5","42","3","2026","6.3"
"Ballari","38.9","40","4","2026","15.2"
"Ballari","36.1","55","5","2026","38.7"
"Ballari","31.5","70","6","2026","78.4"
"Ballari","29.8","76","7","2026","105.2"
"Ballari","29.2","78","8","2026","92.6"
"Ballari","30.1","72","9","2026","108.3"
"Ballari","31.5","65","10","2026","65.8"
"Ballari","32.0","55","11","2026","15.2"
"Ballari","31.8","50","12","2026","3.9"
"Belagavi","28.4","70","1","2026","8.5"
"Belagavi","29.8","65","2","2026","5.2"
"Belagavi","32.5","58","3","2026","12.8"
"Belagavi","33.2","55","4","2026","28.4"
"Belagavi","31.0","68","5","2026","65.2"
"Belagavi","26.5","82","6","2026","185.6"
"Belagavi","24.8","88","7","2026","248.3"
"Belagavi","24.5","90","8","2026","215.7"
"Belagavi","25.8","85","9","2026","195.4"
"Belagavi","27.2","78","10","2026","125.8"
"Belagavi","28.5","68","11","2026","32.5"
"Belagavi","27.8","65","12","2026","8.2"
"Bengaluru Rural","27.5","65","1","2026","6.2"
"Bengaluru Rural","28.8","60","2","2026","4.5"
"Bengaluru Rural","31.2","55","3","2026","10.8"
"Bengaluru Rural","32.5","52","4","2026","42.5"
"Bengaluru Rural","30.8","62","5","2026","98.2"
"Bengaluru Rural","26.2","75","6","2026","85.4"
"Bengaluru Rural","24.5","80","7","2026","105.8"
"Bengaluru Rural","24.2","82","8","2026","125.6"
"Bengaluru Rural","25.5","78","9","2026","165.2"
"Bengaluru Rural","26.8","72","10","2026","145.8"
"Bengaluru Rural","27.2","65","11","2026","58.2"
"Bengaluru Rural","26.5","62","12","2026","12.5"
"Bengaluru Urban","28.2","60","1","2026","5.8"
"Bengaluru Urban","29.5","58","2","2026","4.2"
"Bengaluru Urban","32.0","52","3","2026","9.5"
"Bengaluru Urban","33.2","50","4","2026","38.8"
"Bengaluru Urban","31.5","60","5","2026","92.5"
"Bengaluru Urban","27.0","72","6","2026","78.6"
"Bengaluru Urban","25.2","78","7","2026","98.4"
"Bengaluru Urban","25.0","80","8","2026","118.2"
"Bengaluru Urban","26.2","75","9","2026","155.8"
"Bengaluru Urban","27.5","70","10","2026","138.5"
"Bengaluru Urban","28.0","62","11","2026","52.4"
"Bengaluru Urban","27.2","58","12","2026","10.8"
"Bidar","31.5","58","1","2026","5.5"
"Bidar","33.2","52","2","2026","3.2"
"Bidar","36.0","47","3","2026","8.8"
"Bidar","37.5","44","4","2026","20.2"
"Bidar","35.2","56","5","2026","45.8"
"Bidar","30.0","72","6","2026","125.4"
"Bidar","28.2","80","7","2026","168.5"
"Bidar","27.8","82","8","2026","145.2"
"Bidar","28.5","78","9","2026","155.8"
"Bidar","30.2","68","10","2026","85.4"
"Bidar","31.0","58","11","2026","22.5"
"Bidar","30.2","55","12","2026","5.8"
"Chamarajanagar","29.5","62","1","2026","4.2"
"Chamarajanagar","30.8","58","2","2026","3.5"
"Chamarajanagar","33.2","52","3","2026","8.5"
"Chamarajanagar","34.5","50","4","2026","32.8"
"Chamarajanagar","32.5","60","5","2026","72.5"
"Chamarajanagar","27.8","75","6","2026","65.2"
"Chamarajanagar","26.0","80","7","2026","82.4"
"Chamarajanagar","25.5","82","8","2026","95.8"
"Chamarajanagar","27.0","78","9","2026","125.4"
"Chamarajanagar","28.5","72","10","2026","108.5"
"Chamarajanagar","29.2","62","11","2026","42.8"
"Chamarajanagar","28.5","58","12","2026","8.5"
"Chikballapur","30.2","52","1","2026","3.8"
"Chikballapur","31.5","48","2","2026","2.5"
"Chikballapur","34.0","45","3","2026","6.2"
"Chikballapur","35.5","42","4","2026","25.5"
"Chikballapur","33.8","55","5","2026","58.2"
"Chikballapur","28.5","68","6","2026","52.4"
"Chikballapur","26.8","75","7","2026","68.5"
"Chikballapur","26.2","78","8","2026","82.5"
"Chikballapur","27.5","72","9","2026","105.8"
"Chikballapur","29.0","65","10","2026","85.2"
"Chikballapur","30.0","55","11","2026","28.5"
"Chikballapur","29.5","50","12","2026","5.2"
"Chikmagalur","24.2","82","1","2026","8.5"
"Chikmagalur","25.5","78","2","2026","5.8"
"Chikmagalur","28.0","72","3","2026","15.2"
"Chikmagalur","29.2","68","4","2026","48.5"
"Chikmagalur","27.5","78","5","2026","125.8"
"Chikmagalur","22.8","90","6","2026","325.4"
"Chikmagalur","21.5","94","7","2026","428.5"
"Chikmagalur","21.2","95","8","2026","385.2"
"Chikmagalur","22.5","92","9","2026","275.8"
"Chikmagalur","24.0","85","10","2026","185.4"
"Chikmagalur","24.5","78","11","2026","52.8"
"Chikmagalur","23.8","75","12","2026","12.5"
"Chitradurga","31.0","48","1","2026","3.2"
"Chitradurga","32.5","45","2","2026","2.0"
"Chitradurga","35.2","40","3","2026","5.8"
"Chitradurga","36.8","38","4","2026","18.2"
"Chitradurga","34.5","52","5","2026","42.5"
"Chitradurga","29.5","68","6","2026","58.4"
"Chitradurga","27.8","75","7","2026","78.2"
"Chitradurga","27.2","78","8","2026","72.5"
"Chitradurga","28.5","72","9","2026","95.8"
"Chitradurga","30.0","62","10","2026","62.4"
"Chitradurga","30.8","50","11","2026","18.5"
"Chitradurga","30.2","46","12","2026","3.5"
"Dakshina Kannada","30.5","85","1","2026","5.2"
"Dakshina Kannada","31.2","82","2","2026","3.8"
"Dakshina Kannada","32.8","78","3","2026","12.5"
"Dakshina Kannada","33.5","75","4","2026","55.8"
"Dakshina Kannada","31.8","82","5","2026","165.2"
"Dakshina Kannada","27.5","92","6","2026","845.5"
"Dakshina Kannada","26.0","95","7","2026","1025.8"
"Dakshina Kannada","25.8","96","8","2026","685.4"
"Dakshina Kannada","27.2","92","9","2026","325.6"
"Dakshina Kannada","28.5","88","10","2026","205.8"
"Dakshina Kannada","29.8","82","11","2026","65.2"
"Dakshina Kannada","30.0","80","12","2026","12.8"
"Davanagere","30.5","60","1","2026","4.5"
"Davanagere","32.0","55","2","2026","3.0"
"Davanagere","34.5","50","3","2026","8.2"
"Davanagere","35.8","48","4","2026","22.5"
"Davanagere","33.5","60","5","2026","52.8"
"Davanagere","28.8","75","6","2026","85.2"
"Davanagere","27.0","80","7","2026","115.5"
"Davanagere","26.5","82","8","2026","98.4"
"Davanagere","28.0","78","9","2026","125.2"
"Davanagere","29.5","70","10","2026","82.5"
"Davanagere","30.2","58","11","2026","22.8"
"Davanagere","29.8","55","12","2026","5.5"
"Dharwad","29.2","58","1","2026","5.8"
"Dharwad","30.8","54","2","2026","3.5"
"Dharwad","33.5","48","3","2026","9.5"
"Dharwad","34.8","45","4","2026","25.2"
"Dharwad","32.5","60","5","2026","58.5"
"Dharwad","27.5","78","6","2026","145.8"
"Dharwad","25.8","85","7","2026","195.2"
"Dharwad","25.2","88","8","2026","168.5"
"Dharwad","26.5","82","9","2026","155.4"
"Dharwad","28.2","72","10","2026","95.8"
"Dharwad","29.5","60","11","2026","25.5"
"Dharwad","28.8","55","12","2026","6.2"
"Gadag","32.5","45","1","2026","3.5"
"Gadag","34.0","42","2","2026","2.2"
"Gadag","36.8","38","3","2026","5.8"
"Gadag","38.2","35","4","2026","15.5"
"Gadag","35.8","50","5","2026","35.8"
"Gadag","30.5","68","6","2026","72.5"
"Gadag","28.8","75","7","2026","95.2"
"Gadag","28.2","78","8","2026","82.5"
"Gadag","29.5","72","9","2026","105.8"
"Gadag","31.0","62","10","2026","58.4"
"Gadag","32.0","48","11","2026","15.2"
"Gadag","31.5","44","12","2026","3.2"
"Hassan","26.5","75","1","2026","6.8"
"Hassan","27.8","70","2","2026","4.5"
"Hassan","30.2","65","3","2026","12.5"
"Hassan","31.5","62","4","2026","42.8"
"Hassan","29.8","72","5","2026","95.5"
"Hassan","25.0","85","6","2026","185.2"
"Hassan","23.5","90","7","2026","245.8"
"Hassan","23.0","92","8","2026","218.5"
"Hassan","24.5","88","9","2026","195.4"
"Hassan","26.0","80","10","2026","135.8"
"Hassan","26.8","72","11","2026","42.5"
"Hassan","26.0","68","12","2026","8.8"
"Haveri","30.2","58","1","2026","5.2"
"Haveri","31.8","54","2","2026","3.2"
"Haveri","34.2","48","3","2026","8.8"
"Haveri","35.5","45","4","2026","22.8"
"Haveri","33.2","60","5","2026","55.2"
"Haveri","28.2","78","6","2026","135.8"
"Haveri","26.5","84","7","2026","185.5"
"Haveri","26.0","86","8","2026","158.2"
"Haveri","27.5","80","9","2026","145.8"
"Haveri","29.0","72","10","2026","88.5"
"Haveri","30.0","60","11","2026","22.5"
"Haveri","29.5","55","12","2026","5.8"
"Kalaburagi","34.2","42","1","2026","3.5"
"Kalaburagi","36.0","38","2","2026","2.0"
"Kalaburagi","38.5","34","3","2026","5.2"
"Kalaburagi","40.2","30","4","2026","12.5"
"Kalaburagi","37.8","48","5","2026","32.8"
"Kalaburagi","32.5","65","6","2026","105.4"
"Kalaburagi","30.2","75","7","2026","148.2"
"Kalaburagi","29.8","78","8","2026","125.5"
"Kalaburagi","31.0","72","9","2026","145.8"
"Kalaburagi","33.0","60","10","2026","75.2"
"Kalaburagi","33.5","45","11","2026","18.5"
"Kalaburagi","33.2","40","12","2026","4.2"
"Kodagu","22.5","88","1","2026","12.5"
"Kodagu","23.8","85","2","2026","8.2"
"Kodagu","26.2","78","3","2026","18.5"
"Kodagu","27.5","75","4","2026","58.8"
"Kodagu","25.8","85","5","2026","145.2"
"Kodagu","20.5","95","6","2026","485.5"
"Kodagu","19.2","97","7","2026","625.8"
"Kodagu","19.0","98","8","2026","545.2"
"Kodagu","20.8","94","9","2026","345.8"
"Kodagu","22.5","90","10","2026","225.4"
"Kodagu","23.0","85","11","2026","62.5"
"Kodagu","22.2","82","12","2026","15.8"
"Kolar","30.5","50","1","2026","3.5"
"Kolar","31.8","47","2","2026","2.2"
"Kolar","34.2","42","3","2026","5.8"
"Kolar","35.8","40","4","2026","22.5"
"Kolar","33.5","55","5","2026","52.8"
"Kolar","28.2","68","6","2026","48.5"
"Kolar","26.5","75","7","2026","62.4"
"Kolar","26.0","78","8","2026","78.5"
"Kolar","27.5","72","9","2026","98.2"
"Kolar","29.0","65","10","2026","78.5"
"Kolar","30.2","52","11","2026","25.8"
"Kolar","29.8","48","12","2026","4.5"
"Koppal","33.5","45","1","2026","3.2"
"Koppal","35.2","42","2","2026","1.8"
"Koppal","37.8","38","3","2026","5.5"
"Koppal","39.2","35","4","2026","14.2"
"Koppal","36.5","50","5","2026","32.5"
"Koppal","31.2","68","6","2026","68.5"
"Koppal","29.5","75","7","2026","92.8"
"Koppal","29.0","78","8","2026","78.4"
"Koppal","30.2","72","9","2026","98.5"
"Koppal","32.0","62","10","2026","55.8"
"Koppal","33.0","48","11","2026","12.5"
"Koppal","32.5","44","12","2026","2.8"
"Mandya","28.5","65","1","2026","5.5"
"Mandya","29.8","62","2","2026","3.8"
"Mandya","32.2","55","3","2026","10.2"
"Mandya","33.5","52","4","2026","38.5"
"Mandya","31.2","65","5","2026","82.5"
"Mandya","26.5","78","6","2026","72.8"
"Mandya","25.0","82","7","2026","95.5"
"Mandya","24.5","85","8","2026","108.2"
"Mandya","26.0","80","9","2026","142.5"
"Mandya","27.5","75","10","2026","118.8"
"Mandya","28.2","65","11","2026","45.2"
"Mandya","27.5","60","12","2026","8.5"
"Mysuru","27.5","68","1","2026","5.8"
"Mysuru","28.8","65","2","2026","4.2"
"Mysuru","31.5","58","3","2026","10.5"
"Mysuru","32.8","55","4","2026","40.2"
"Mysuru","30.5","68","5","2026","85.8"
"Mysuru","26.0","80","6","2026","78.5"
"Mysuru","24.5","85","7","2026","98.2"
"Mysuru","24.0","88","8","2026","112.5"
"Mysuru","25.5","82","9","2026","148.8"
"Mysuru","27.0","78","10","2026","125.2"
"Mysuru","27.8","68","11","2026","48.5"
"Mysuru","27.0","62","12","2026","9.2"
"Raichur","34.5","40","1","2026","3.0"
"Raichur","36.2","36","2","2026","1.8"
"Raichur","39.0","32","3","2026","4.5"
"Raichur","40.8","28","4","2026","10.2"
"Raichur","38.2","45","5","2026","28.5"
"Raichur","33.0","62","6","2026","85.2"
"Raichur","31.2","72","7","2026","118.5"
"Raichur","30.5","75","8","2026","98.4"
"Raichur","32.0","68","9","2026","115.8"
"Raichur","33.5","58","10","2026","62.5"
"Raichur","34.0","42","11","2026","14.8"
"Raichur","33.5","38","12","2026","3.2"
"Ramanagara","28.8","62","1","2026","5.2"
"Ramanagara","30.0","58","2","2026","3.5"
"Ramanagara","32.5","52","3","2026","9.8"
"Ramanagara","33.8","50","4","2026","35.5"
"Ramanagara","31.5","62","5","2026","78.2"
"Ramanagara","27.0","75","6","2026","65.8"
"Ramanagara","25.5","80","7","2026","85.5"
"Ramanagara","25.0","82","8","2026","98.2"
"Ramanagara","26.5","78","9","2026","128.5"
"Ramanagara","28.0","72","10","2026","105.8"
"Ramanagara","29.0","62","11","2026","38.5"
"Ramanagara","28.2","58","12","2026","7.5"
"Shimoga","26.2","78","1","2026","8.2"
"Shimoga","27.5","74","2","2026","5.5"
"Shimoga","30.0","68","3","2026","14.8"
"Shimoga","31.2","65","4","2026","45.5"
"Shimoga","29.5","75","5","2026","108.2"
"Shimoga","24.5","88","6","2026","285.5"
"Shimoga","23.0","92","7","2026","365.8"
"Shimoga","22.5","94","8","2026","325.4"
"Shimoga","24.0","90","9","2026","245.2"
"Shimoga","25.5","82","10","2026","155.8"
"Shimoga","26.2","75","11","2026","45.5"
"Shimoga","25.8","72","12","2026","10.5"
"Tumakuru","30.5","50","1","2026","3.5"
"Tumakuru","31.8","48","2","2026","2.5"
"Tumakuru","34.2","42","3","2026","6.2"
"Tumakuru","35.5","40","4","2026","24.8"
"Tumakuru","33.5","55","5","2026","55.8"
"Tumakuru","28.5","68","6","2026","52.5"
"Tumakuru","27.0","75","7","2026","72.8"
"Tumakuru","26.5","78","8","2026","85.2"
"Tumakuru","28.0","72","9","2026","108.5"
"Tumakuru","29.5","65","10","2026","82.4"
"Tumakuru","30.2","52","11","2026","25.5"
"Tumakuru","29.8","48","12","2026","4.8"
"Udupi","30.8","86","1","2026","6.2"
"Udupi","31.5","82","2","2026","4.5"
"Udupi","33.0","78","3","2026","14.8"
"Udupi","33.8","76","4","2026","58.5"
"Udupi","32.0","84","5","2026","175.2"
"Udupi","27.8","94","6","2026","895.5"
"Udupi","26.2","96","7","2026","1085.2"
"Udupi","26.0","97","8","2026","725.8"
"Udupi","27.5","93","9","2026","345.2"
"Udupi","29.0","88","10","2026","215.5"
"Udupi","30.2","82","11","2026","68.5"
"Udupi","30.5","80","12","2026","14.2"
"Uttara Kannada","28.5","80","1","2026","5.5"
"Uttara Kannada","29.8","76","2","2026","3.8"
"Uttara Kannada","32.2","70","3","2026","12.8"
"Uttara Kannada","33.5","68","4","2026","48.5"
"Uttara Kannada","31.2","78","5","2026","135.8"
"Uttara Kannada","26.0","90","6","2026","585.4"
"Uttara Kannada","24.5","94","7","2026","752.8"
"Uttara Kannada","24.2","95","8","2026","625.2"
"Uttara Kannada","25.8","92","9","2026","325.5"
"Uttara Kannada","27.5","85","10","2026","185.2"
"Uttara Kannada","28.5","78","11","2026","48.5"
"Uttara Kannada","28.0","75","12","2026","10.8"
"Vijayanagara","31.2","55","1","2026","4.2"
"Vijayanagara","32.8","50","2","2026","2.8"
"Vijayanagara","35.5","45","3","2026","7.5"
"Vijayanagara","37.0","42","4","2026","18.5"
"Vijayanagara","34.8","56","5","2026","42.8"
"Vijayanagara","29.8","72","6","2026","78.5"
"Vijayanagara","28.0","78","7","2026","108.2"
"Vijayanagara","27.5","80","8","2026","92.8"
"Vijayanagara","29.0","75","9","2026","115.5"
"Vijayanagara","30.5","65","10","2026","68.4"
"Vijayanagara","31.2","55","11","2026","18.2"
"Vijayanagara","30.5","52","12","2026","4.2"
"Vijayapura","33.8","42","1","2026","3.0"
"Vijayapura","35.5","38","2","2026","1.5"
"Vijayapura","38.2","34","3","2026","4.8"
"Vijayapura","39.8","30","4","2026","11.5"
"Vijayapura","37.2","48","5","2026","28.5"
"Vijayapura","32.0","65","6","2026","72.5"
"Vijayapura","30.2","72","7","2026","98.4"
"Vijayapura","29.8","75","8","2026","82.5"
"Vijayapura","31.0","70","9","2026","105.2"
"Vijayapura","32.8","58","10","2026","55.8"
"Vijayapura","33.5","44","11","2026","12.8"
"Vijayapura","33.0","40","12","2026","2.8"
"Yadgir","34.8","40","1","2026","2.8"
"Yadgir","36.5","36","2","2026","1.5"
"Yadgir","39.2","32","3","2026","4.2"
"Yadgir","41.0","28","4","2026","9.8"
"Yadgir","38.5","45","5","2026","25.5"
"Yadgir","33.2","62","6","2026","78.2"
"Yadgir","31.5","72","7","2026","108.5"
"Yadgir","31.0","75","8","2026","92.8"
"Yadgir","32.2","68","9","2026","108.2"
"Yadgir","33.8","56","10","2026","58.5"
"Yadgir","34.2","42","11","2026","12.5"
"Yadgir","34.0","38","12","2026","2.5"
